Epoch,gen_loss,disc_loss
1,10.82521,1.3701744
2,5.797369,1.3706218
3,4.623223,1.4038289
4,3.8714657,1.4339601
5,3.4189987,1.4005512
6,3.1120908,1.3927034
7,2.9506545,1.3813645
8,2.8524508,1.3927428
9,2.7654216,1.37658
10,2.6724498,1.3756405
11,2.6133628,1.3766748
12,2.52934,1.3906072
13,2.4267242,1.3915457
14,2.3533106,1.3900974
15,2.2906091,1.3891958
16,2.2279081,1.3919544
17,2.1554296,1.3979491
18,2.1090164,1.3927318
19,2.055614,1.3941957
20,2.0169675,1.3937368
21,1.9728827,1.3921491
22,1.9305023,1.3904622
23,2.0108502,1.3755418
24,1.9526759,1.3935232
25,1.8647532,1.3877966
26,1.8171995,1.3919723
27,1.799361,1.3952173
28,1.7774558,1.3901135
29,1.7514144,1.3988742
30,1.7356069,1.3919369
31,1.7137157,1.3944396
32,1.6860642,1.3992331
33,1.6750774,1.3888484
34,1.6582247,1.3960481
35,1.6476417,1.3895109
36,1.6274835,1.3945905
37,1.6157272,1.3963629
38,1.5988038,1.3947891
39,1.5919574,1.3925254
40,1.5876888,1.3908054
41,1.5706089,1.3933345
42,1.5543032,1.3913287
43,1.5463649,1.3954576
44,1.5307533,1.3930677
45,1.5213281,1.3920757
46,1.519532,1.3962107
47,1.5119599,1.393157
48,1.500105,1.3912499
49,1.4919419,1.3898499
50,1.4778959,1.3935071
51,1.4726552,1.3972816
52,1.4717299,1.3918518
53,1.4642483,1.3916869
54,1.4511077,1.3941118
55,1.4508607,1.3929836
56,1.4437324,1.3920265
57,1.4366626,1.3925714
58,1.4268596,1.3911705
59,1.4252932,1.3914967
60,1.4130943,1.3959563
61,1.4079413,1.3942288
62,1.4054585,1.3946198
63,1.4003425,1.3935468
64,1.3968357,1.3890872
65,1.3936588,1.3931199
66,1.3927594,1.389231
67,1.3891882,1.394633
68,1.379177,1.393051
69,1.3679454,1.3907689
70,1.3660164,1.393119
71,1.3704358,1.3893102
72,1.3696749,1.3907924
73,1.3604223,1.3929856
74,1.352341,1.3949172
75,1.3484967,1.3913217
76,1.3446838,1.3959702
77,1.3454696,1.3947695
78,1.33719,1.3915222
79,1.3344634,1.3931596
80,1.3335681,1.3912295
81,1.332808,1.3898983
82,1.3239042,1.3938679
83,1.3228664,1.3893191
84,1.3203527,1.3900489
85,1.3201317,1.3972249
86,1.3142234,1.3929942
87,1.3116959,1.3928593
88,1.3080059,1.3912565
89,1.3003703,1.3970771
90,1.298515,1.3935533
91,1.3017122,1.393664
92,1.2940468,1.3903394
93,1.2961581,1.389771
94,1.2918321,1.3909183
95,1.2939155,1.3874142
96,1.2889742,1.3935106
97,1.2863516,1.3912475
98,1.2831123,1.3975205
99,1.2828369,1.3891428
100,1.2776769,1.3920867
