Epoch,gen_loss,disc_loss,l1_loss
1,19.198421,1.2432913,0.18514
2,17.318808,1.2193135,0.16596
3,16.893333,1.0921415,0.16112
4,16.717253,1.0402486,0.15872
5,16.479362,1.0221095,0.15611
6,16.306763,0.94496554,0.15388
7,16.15279,0.9316963,0.1523
8,16.268856,0.8197998,0.15255
9,16.211334,0.7740295,0.15125
10,16.045822,0.7705743,0.14921
11,16.258865,0.7651043,0.15073
12,16.096277,0.7317481,0.14857
13,16.030336,0.7496224,0.14764
14,15.922581,0.66667813,0.14584
15,15.921923,0.6416865,0.14539
16,16.12983,0.5767482,0.14609
17,16.15255,0.57428265,0.1458
18,16.157791,0.53754675,0.14547
19,16.127178,0.49862862,0.14426
20,16.055382,0.5543995,0.14317
21,16.067545,0.5046924,0.14265
22,15.912151,0.47086632,0.14097
23,16.22545,0.5098613,0.1438
24,16.144924,0.719201,0.14591
25,16.328531,0.41586515,0.14289
26,15.963991,0.536379,0.14023
27,16.146547,0.57788306,0.14273
28,15.897952,0.55289483,0.14034
29,16.333893,0.48623887,0.14317
30,16.08434,0.5392352,0.14099
31,16.425926,0.40474504,0.14184
32,16.16795,0.53208065,0.14199
33,16.284025,0.47661743,0.14129
33,16.042158,0.47423926,0.13939
34,16.00923,0.5546466,0.13959
35,16.385767,0.4331676,0.14135
36,15.82025,0.5535776,0.13876
37,15.861463,0.5177645,0.13924
38,15.8510475,0.46741658,0.13907
39,16.29445,0.45513916,0.14083
40,16.127216,0.4510014,0.13948
41,16.102303,0.46475938,0.13979
42,16.086437,0.5801656,0.14191
43,16.064342,0.54496855,0.14033
