Epoch,gen_loss,disc_loss,l1_loss
1,42.32138,0.042256366,0.38114
2,42.145824,0.018118545,0.36981
3,42.570503,0.01642143,0.36815
4,43.77823,0.010300899,0.37745
5,44.02388,0.0059228525,0.37633
6,44.055996,0.0061498643,0.37496
7,43.4123,0.0077669024,0.36871
8,45.29275,0.0048596165,0.38367
9,44.140232,0.0036092938,0.37012
10,44.976444,0.0050184126,0.37734
11,44.796036,0.0027919337,0.37374
12,44.995834,0.004544885,0.37119
13,44.7408,0.00260436,0.37106
14,44.727966,0.0018210416,0.36656
15,45.52949,0.0012940733,0.37019
16,45.824924,0.0013155729,0.37076
17,45.085094,0.003916904,0.36553
18,46.153538,0.0030206179,0.37995
19,46.043255,0.0036718773,0.37505
20,46.108078,0.0052838074,0.37774
21,45.7493,0.0018104569,0.37324
22,45.709488,0.0035832592,0.3708
23,45.946865,0.0023058772,0.37386
24,45.938457,0.0020679533,0.37232
25,45.396584,0.0016942561,0.36526
26,46.776493,0.00092426775,0.37716
27,46.087147,0.0009062333,0.36717
28,46.92022,0.00079920894,0.37288
29,45.95008,0.0007829581,0.36286
30,46.643677,0.0009797958,0.37041
31,44.325874,0.011293482,0.35941
32,45.331238,0.0016265295,0.36453
33,45.52052,0.0016188136,0.36361
34,46.533573,0.0025824958,0.37019
35,45.364815,0.001255015,0.36132
36,45.13764,0.0011817231,0.35967
37,45.06921,0.0089031,0.36463
38,43.68459,0.005392325,0.35901
39,43.668472,0.013744222,0.35835
40,43.79511,0.0070488392,0.3601
41,44.189037,0.0056291413,0.36406
42,44.40076,0.005890396,0.36364
43,44.008095,0.003991228,0.35992
44,44.093296,0.004256884,0.35779
45,43.811165,0.0022425973,0.35506
46,44.07951,0.0017388016,0.35429
47,44.376793,0.003925547,0.35599
48,44.96147,0.0020876057,0.36211
49,44.616604,0.0026096967,0.35793
50,44.959076,0.0016055367,0.35918
